Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,545.549988,545.549988,510.924988,537.75,457.306488,35040012
05-01-2010,574.950012,574.950012,532.700012,535.349976,455.265503,9780080
06-01-2010,539.950012,547.25,535.325012,544,462.62146,10831076
07-01-2010,544,557.5,539,553.025024,470.296417,11976808
08-01-2010,554,556.900024,548,551.575012,469.063354,6907852
11-01-2010,567.349976,574.849976,525,540.75,459.857635,86244270
12-01-2010,547.5,568.650024,538.5,542.174988,461.069519,14990718
13-01-2010,544,546,534.299988,544.299988,462.876617,7022156
14-01-2010,543,562.400024,543,560.849976,476.950836,11221436
15-01-2010,562.900024,569.450012,552.525024,555.375,472.294891,8579466
18-01-2010,553.5,558.224976,545.974976,549.75,467.511383,6479050
19-01-2010,550,553.025024,541.325012,542.5,461.345886,5972726
20-01-2010,547.5,548.549988,536,538.75,458.15686,8837494
21-01-2010,537.5,538.5,525.125,527.025024,448.185944,8508470
22-01-2010,520.5,535.5,514.75,526.924988,448.1008,18227024
25-01-2010,524.825012,527.200012,518.349976,521.025024,443.083435,6122956
27-01-2010,517,525,510,513.775024,436.917969,11357606
28-01-2010,520,523.224976,512.5,518.575012,440.999939,15188648
29-01-2010,516.450012,525.900024,509.049988,523.099976,444.847931,10667082
01-02-2010,518.75,527.5,517.775024,522.700012,444.507843,5546738
02-02-2010,526,528.174988,512.049988,513.650024,436.811676,7885662
03-02-2010,515.549988,524.200012,515.549988,516.974976,439.639221,6881390
04-02-2010,519,519,507,509.575012,433.346222,5474386
05-02-2010,487.5,503.875,487.5,490.850006,417.422424,13661446
06-02-2010,,,,,,
08-02-2010,492.5,502.174988,487.5,497.174988,422.801147,11838292
09-02-2010,496.875,499,491.350006,496.625,422.333527,6533836
10-02-2010,499.950012,499.950012,491,492.549988,418.868011,8348428
11-02-2010,494.625,509.899994,494.25,507.575012,431.645447,10720598
15-02-2010,513.5,513.5,503.799988,505,429.455627,6171114
16-02-2010,505.049988,510.5,502.5,508.875,432.750916,4602868
17-02-2010,512.5,518.900024,511.024994,516.275024,439.044006,7145566
18-02-2010,515,519.174988,497.5,498.899994,424.268158,9067490
19-02-2010,497.5,497.5,488.575012,491.600006,418.060181,8116776
22-02-2010,497.649994,500,485,488.975006,415.82782,5802376
23-02-2010,487,491.5,485,487.674988,414.722351,5932618
24-02-2010,485,492.850006,483.325012,489.399994,416.189301,5708906
25-02-2010,490.049988,492.5,479.575012,481.549988,409.513611,8665160
26-02-2010,484.5,497.5,483.125,489.475006,416.253052,10322466
02-03-2010,492.5,499.5,489.700012,491.600006,418.060181,8325272
03-03-2010,494,514,494,512.400024,435.748688,12171582
04-03-2010,520,520,504,507,431.156464,9500474
05-03-2010,511,513,502.549988,504.899994,429.370605,5382908
08-03-2010,510.600006,513.5,501,502.049988,426.94693,5459160
09-03-2010,503.25,505.899994,494.024994,495.174988,421.100342,7981906
10-03-2010,497.5,509.450012,494.649994,504.375,428.924103,11341006
11-03-2010,505,510,503.5,508.225006,432.198212,6667210
12-03-2010,507.5,516.5,507,510.799988,434.38797,10210012
15-03-2010,511,515.974976,506.549988,514.025024,437.130554,8289204
16-03-2010,516,535.900024,514.5,533.974976,454.0961,15543070
17-03-2010,537.400024,541.25,532.900024,534.849976,454.840302,9874552
18-03-2010,537,540.799988,532.049988,538.474976,457.923004,6991182
19-03-2010,539.400024,548.25,535.075012,546.025024,464.343658,9023434
22-03-2010,531,549.5,531,536.974976,456.6474,9357502
23-03-2010,538.974976,546.974976,538.474976,545.700012,464.0672,9145862
25-03-2010,548,548.5,538.700012,545.724976,464.088501,10500146
26-03-2010,548.5,555.5,547.575012,550.224976,467.915192,8263518
29-03-2010,551.849976,554.974976,545.5,546.650024,464.875092,9257520
30-03-2010,548,552.849976,541.5,544.075012,462.685303,8658180
31-03-2010,546.450012,547.5,535.650024,537.125,456.774963,9896604
01-04-2010,539,549.25,538.5,546.025024,464.343658,5723712
05-04-2010,548.25,564.825012,548.25,562.950012,478.736725,9103524
06-04-2010,564,566.5,560.099976,561.599976,477.588623,5706276
07-04-2010,562.5,574.849976,561.549988,564.849976,480.352448,9243252
08-04-2010,566.5,568.25,550.75,553.275024,470.509003,6731056
09-04-2010,554.099976,565.5,554.099976,562.349976,478.22644,7692518
12-04-2010,572.5,572.5,561.325012,563.674988,479.353271,5805914
13-04-2010,564,567,555.650024,560.450012,476.610718,6387200
15-04-2010,562.5,567.450012,543.525024,545.349976,463.769531,11103162
16-04-2010,543.049988,547.5,535.575012,542.125,461.027008,8317558
19-04-2010,539.900024,539.900024,525.5,530.900024,451.481201,7492586
20-04-2010,534.924988,539.875,527.174988,531.599976,452.076447,7656874
21-04-2010,535,536.849976,524.075012,527.049988,448.207123,8771902
22-04-2010,525.25,546.950012,525.025024,537.875,457.412781,11702704
23-04-2010,540,548,540,544.099976,462.706482,10622336
26-04-2010,540,548.900024,531.75,535.625,455.49939,7612804
27-04-2010,531.5,534,527.5,530.625,451.247314,6386704
28-04-2010,526.974976,526.974976,506,508.625,432.538391,18337076
29-04-2010,512,519.950012,509.575012,517.525024,440.107025,10719200
30-04-2010,520,523.599976,515,516.799988,439.490417,7232838
03-05-2010,513,516.299988,509.049988,511.875,435.302185,5730692
04-05-2010,512.099976,519.5,506.75,510.575012,434.196716,7931280
05-05-2010,505,511.774994,501.649994,510.325012,433.9841,6846784
06-05-2010,509.899994,511.649994,502,503.924988,428.541382,10909566
07-05-2010,488,530,488,516.400024,439.150299,32945092
10-05-2010,525.5,541,520,539.700012,465.271698,17395566
11-05-2010,544.5,544.5,531.674988,533.900024,460.271545,12035128
12-05-2010,538.025024,544.724976,532.025024,541.474976,466.801971,6992040
13-05-2010,531,546.700012,531,535.900024,461.995758,5462086
14-05-2010,533.849976,535.5,517.5,521.825012,449.861786,8302916
17-05-2010,517.349976,517.349976,504.5,508.274994,438.180389,9423026
18-05-2010,510,516.724976,503.899994,510.299988,439.926178,7061022
19-05-2010,508.5,508.875,497.549988,499.325012,430.464691,11930890
20-05-2010,500.5,506.5,496.875,499.975006,431.025055,8492908
21-05-2010,494.950012,499.924988,488.049988,497.774994,429.128479,8762694
24-05-2010,509,524.474976,508.225006,511.325012,440.809814,11304034
25-05-2010,512.5,512.5,491.375,492.825012,424.861115,11541592
26-05-2010,497.450012,505,495.5,504.024994,434.516541,6275326
27-05-2010,505.5,513.849976,500.799988,511.125,440.63739,12528690
28-05-2010,514.974976,519.5,507.25,518.325012,446.844452,8016544
31-05-2010,515.075012,524.25,514.375,522.799988,450.702301,7565560
01-06-2010,521.650024,522.5,502.049988,505.274994,435.594147,8899260
02-06-2010,507.5,510.5,501.674988,505.524994,435.809662,9019092
03-06-2010,509.950012,519,509.950012,515.400024,444.322937,7820726
04-06-2010,515.5,518,511.225006,515.599976,444.495239,6440570
07-06-2010,507.5,507.5,500,503.875,434.387238,6173290
08-06-2010,504.850006,506.350006,497.549988,498.200012,429.494873,6961138
09-06-2010,500.100006,507.5,500,503.524994,434.08548,6968352
10-06-2010,505,508.725006,503.575012,507.674988,437.663177,6383372
11-06-2010,512.5,525.424988,510.5,523.200012,451.047211,10655208
14-06-2010,527.450012,535,524.549988,531.75,458.418091,7265726
15-06-2010,532.599976,534.950012,525.049988,533.049988,459.538788,8682886
16-06-2010,535,536.325012,527.549988,528.974976,456.025787,5409682
17-06-2010,531.650024,538.5,529.150024,535.700012,461.823395,9622348
18-06-2010,540.099976,544.900024,525.275024,527.174988,454.473969,17499384
21-06-2010,530.5,535.849976,530.5,532.825012,459.344849,5391320
22-06-2010,531.5,537.400024,528.474976,531.900024,458.547394,5901498
23-06-2010,529.849976,533.75,527,529.349976,456.34906,5330190
24-06-2010,529.5,532.900024,523.650024,526.025024,453.482605,8597134
25-06-2010,525,534,521.5,531.474976,458.180969,9292100
28-06-2010,537,546,532.575012,545.075012,469.905457,14388236
29-06-2010,545.5,545.5,532.099976,533.724976,460.120667,6498152
30-06-2010,530,546.974976,528.75,544.924988,469.776123,12177820
01-07-2010,542,543.174988,533.25,538.125,463.913879,6085298
02-07-2010,538,541.974976,532.650024,534.474976,460.767212,5005416
05-07-2010,535,536.575012,531.349976,534.150024,460.487061,2925642
06-07-2010,532.75,540.950012,532.75,536.950012,462.90094,4231080
07-07-2010,537,537.400024,525.5,526.775024,454.12915,6280816
08-07-2010,530,534.775024,527.625,528.549988,455.659363,5475898
09-07-2010,531.974976,533,526.775024,528.825012,455.896515,5931692
12-07-2010,530,533.974976,526.025024,528.125,455.292999,5743662
